study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
1,Tax Cuts and Jobs Act,Republican,More-less,Counterfactual, Same,0.5555555555555557,NA,0.05897165471491947,NA,NA,NA
1,Tax Cuts and Jobs Act,Republican,More-less,Counterfactual,Less,0.22222222222222224,NA,0.04933922619854286,NA,NA,NA
1,Tax Cuts and Jobs Act,Republican,More-less,Change + level,  Diff,0.19148936170212771,0.19148936170212771,0.08939253245534161,0.011551526546508262,0.37142719685774717,0.19 (0.09)
1,Tax Cuts and Jobs Act,Republican,More-less,Change + level, More,0.29787234042553196,NA,0.06742861107915607,NA,NA,NA
1,Tax Cuts and Jobs Act,Republican,More-less,Change + level, Same,0.5957446808510639,NA,0.07235674844413015,NA,NA,NA
1,Tax Cuts and Jobs Act,Republican,More-less,Change + level,Less,0.10638297872340426,NA,0.04546036031565444,NA,NA,NA
1,Tax Cuts and Jobs Act,Republican,More-less,Change,  Diff,0.7027027027027027,0.7027027027027027,0.07617808344724218,0.5482063886571625,0.857199016748243,0.70 (0.08)
1,Tax Cuts and Jobs Act,Republican,More-less,Change, More,0.7027027027027027,NA,0.07617808344724218,NA,NA,NA
1,Tax Cuts and Jobs Act,Republican,More-less,Change, Same,0.29729729729729726,NA,0.07617808344724218,NA,NA,NA
1,Tax Cuts and Jobs Act,Republican,More-less,Change,Less,-0,NA,0,NA,NA,NA
1,Tax Cuts and Jobs Act,Republican,CATE,Diff. in means,NA,NA,-0.42014162077104605,0.3602010382491069,-1.1385399391535773,0.29825669761148516,-0.42 (0.36)
1,Tax Cuts and Jobs Act,Republican,CATE,Counterfactual,NA,NA,-5.4847800920457326e-18,0.11533444597688497,-0.22997035363975937,0.22997035363975937,-0.00 (0.12)
1,Undisputed accusation,Democrat,More-less,Counterfactual,  Diff,-0.48039215686274495,-0.48039215686274495,0.06642899610386169,-0.6121694159291928,-0.3486148977962971,-0.48 (0.07)
1,Undisputed accusation,Democrat,More-less,Counterfactual, More,0.09803921568627451,NA,0.029589188531613256,NA,NA,NA
1,Undisputed accusation,Democrat,More-less,Counterfactual, Same,0.32352941176470584,NA,0.046550104113196135,NA,NA,NA
1,Undisputed accusation,Democrat,More-less,Counterfactual,Less,0.5784313725490196,NA,0.049135952012745024,NA,NA,NA
1,Undisputed accusation,Democrat,More-less,Change + level,  Diff,-0.6666666666666666,-0.6666666666666666,0.0778498944161523,-0.8235628195468507,-0.5097705137864825,-0.67 (0.08)
1,Undisputed accusation,Democrat,More-less,Change + level, More,0.02222222222222222,NA,0.02222222222222222,NA,NA,NA
1,Undisputed accusation,Democrat,More-less,Change + level, Same,0.28888888888888886,NA,0.06832943242540511,NA,NA,NA
1,Undisputed accusation,Democrat,More-less,Change + level,Less,0.6888888888888888,NA,0.0697920592732311,NA,NA,NA
1,Undisputed accusation,Democrat,More-less,Change,  Diff,-0.7924528301886795,-0.7924528301886795,0.06235863877776731,-0.917584593460082,-0.667321066917277,-0.79 (0.06)
1,Undisputed accusation,Democrat,More-less,Change, More,0.01886792452830189,NA,0.01886792452830189,NA,NA,NA
1,Undisputed accusation,Democrat,More-less,Change, Same,0.16981132075471703,NA,0.05206789873629056,NA,NA,NA
